Date,Price,Open,High,Low,Change %
20-Dec-18,1260.15,1243.40,1266.70,1242.70,1.35%
19-Dec-18,1243.40,1249.37,1258.44,1241.49,-0.48%
18-Dec-18,1249.38,1246.02,1250.63,1244.79,0.28%
17-Dec-18,1245.91,1237.60,1248.46,1235.69,0.62%
14-Dec-18,1238.21,1242.43,1243.30,1232.70,-0.34%
13-Dec-18,1242.46,1245.69,1247.14,1240.05,-0.27%
12-Dec-18,1245.80,1242.94,1247.52,1241.94,0.23%
11-Dec-18,1242.94,1244.52,1249.89,1240.81,-0.13%
10-Dec-18,1244.58,1250.76,1250.85,1241.47,-0.28%
7-Dec-18,1248.09,1238.00,1250.44,1237.29,0.82%
6-Dec-18,1237.99,1237.56,1244.72,1234.56,0.04%
5-Dec-18,1237.56,1238.55,1239.64,1233.21,-0.08%
4-Dec-18,1238.55,1231.03,1242.22,1230.34,0.61%
3-Dec-18,1231.07,1223.19,1235.19,1221.22,0.75%
30-Nov-18,1221.96,1223.95,1225.95,1216.49,-0.17%
29-Nov-18,1223.99,1221.13,1229.23,1220.45,0.24%
28-Nov-18,1221.11,1214.64,1226.55,1210.99,0.53%
27-Nov-18,1214.69,1222.36,1225.43,1211.71,-0.63%
26-Nov-18,1222.37,1224.04,1228.44,1221.45,-0.07%
23-Nov-18,1223.19,1227.08,1228.92,1220.12,-0.35%
22-Nov-18,1227.45,1226.02,1229.45,1224.81,0.12%
21-Nov-18,1226.02,1221.53,1230.33,1219.52,0.37%
20-Nov-18,1221.55,1224.06,1229.04,1219.69,-0.20%
19-Nov-18,1224.05,1222.34,1225.51,1217.82,0.21%
16-Nov-18,1221.47,1213.01,1225.67,1212.61,0.70%
15-Nov-18,1213.00,1210.85,1216.66,1207.83,0.17%
14-Nov-18,1210.91,1202.25,1216.51,1197.43,0.71%
13-Nov-18,1202.34,1200.65,1205.57,1196.19,0.14%
12-Nov-18,1200.65,1210.05,1211.79,1200.31,-0.74%
9-Nov-18,1209.59,1223.54,1224.09,1206.53,-1.14%
8-Nov-18,1223.54,1226.04,1227.24,1219.94,-0.21%
7-Nov-18,1226.10,1226.92,1236.20,1223.13,-0.06%
6-Nov-18,1226.80,1231.36,1236.33,1223.34,-0.37%
5-Nov-18,1231.30,1233.09,1235.32,1226.77,-0.13%
2-Nov-18,1232.89,1234.37,1236.72,1229.67,-0.03%
1-Nov-18,1233.23,1215.24,1237.74,1214.69,1.54%
31-Oct-18,1214.54,1223.04,1223.50,1211.82,-0.73%
30-Oct-18,1223.44,1230.06,1230.83,1219.71,-0.51%
29-Oct-18,1229.74,1234.15,1235.73,1224.31,-0.31%
26-Oct-18,1233.58,1232.25,1243.63,1229.78,0.11%
